no,영화이름,장르,유튜브링크,리뷰채널/제목,ann_video_id,violence_frames,neg_hard_frames,neg_easy_frames,n_frames
1,악마를 보았다,"복수, 공포, 범죄, 스릴러, 느와르, 액션, 고어, 하드보일드, 피카레스크",https://youtu.be/6OvtUA4JPsk,무비헌터 / 살인마를 장난감처럼 가지고 노는 특수요원의 복수,6OvtUA4JPsk,1100,32,3338,4470
2,황해,"공포, 복수, 범죄, 스릴러, 액션, 느와르, 미스터리, 피카레스크, 하드보일드",https://youtu.be/x2PjLCMrfTk,영반 / 조선족 최악의 살인청부업자를 건드린 한국 조직원들의 최후,x2PjLCMrfTk,643,0,2942,3585
3,야당,"범죄, 수사, 액션, 복수, 스릴러, 느와르, 블랙 코미디, 정치, 피카레스크, 사회고발",https://youtu.be/nNTui4Lgc5w,쎈tv / 야당 강하늘 [결말포함],nNTui4Lgc5w,415,0,3480,3895
4,데드 어게인,"스릴러, 로맨스, 미스터리",https://youtu.be/y97D-Ixgya0,Cinema Epoch / DEAD AGAIN (Full Movie),y97D-Ixgya0,998,197,9738,10933
5,혈의 누,"사극, 추리, 미스터리, 스릴러, 범죄, 공포, 서스펜스, 느와르, 고어, 피카레스크",https://youtu.be/sdIwllo85S4,무비헌터 / 조선시대 가장 잔혹한 연쇄살인 스릴러,sdIwllo85S4,588,122,2904,3614
6,살인자 리포트,"드라마, 스릴러, 범죄",https://youtu.be/AJDngK8lc5Y,거의없다 / 살인자 리포트,AJDngK8lc5Y,157,0,1509,1666
7,극락도 살인 사건,"미스터리, 스릴러, 범죄, 공포, 블랙 코미디",https://youtu.be/AFiVD7uomv8,숏뭅 / 신안에서 촬영하다가 실제 시체까지 발견,AFiVD7uomv8,563,89,2124,2776
8,전야,"액션, 범죄, 느와르",https://youtu.be/HNfa_rRlVl4,구불 / 인간 병기의 아내를 죽인 국가 조직의 최후,HNfa_rRlVl4,1193,8,1896,3097
9,아저씨,"복수, 액션, 범죄, 느와르, 스릴러, 드라마, 하드보일드, 사회고발",https://youtu.be/pXFG4cVq-Ms,인생영화 / 38분 순삭 2010년 레전드 액션 누아르,pXFG4cVq-Ms,1138,60,3398,4596
10,그놈이다,스릴러,https://youtu.be/yrLAs6ku0TA,N생작 review / 실화 모티브 싸이코패스 연쇄살인,geunomdida,70,0,3158,3228
11,목격,스릴러,https://youtu.be/5lfIlKYQhFw,N생작 review / 살인마와 눈이 마주치자 층수를 세는 스릴러,mokgyeok,224,25,2152,2401
12,더 폰,"액션, 스릴",https://youtu.be/mDnWRJZBDx0,N생작 review / 죽은 아내에게 걸려온 전화,thephone,157,14,1734,1905
13,미션 파서블,"액션, 코미디",https://youtu.be/0pjvaM59NA8,진리의 영화 / 액션 장면이 기가 막힌 영화,mission_possible,398,0,3388,3786
14,스마트폰을 떨어뜨렸을 뿐인데,"공포, 스릴러, 범죄",https://youtu.be/h0B2sT6mPzg,미스터리씨네 / 천우희 임시완 미스터리 스릴러 [결말],smartphone,48,0,1830,1878
15,도어락,스릴러,https://youtu.be/lzd1OqsBDOc,미스터리씨네 / 여성이 혼자 살면 겪는 공포 [결말],doorlock,172,0,2314,2486
16,마이웨이,"전쟁, 액션",https://youtu.be/__47Xw1a9jY,U무비 / 장동건 X 판빙빙 X 오다기리죠,myway,380,0,3421,3801
17,악의 도시,스릴러,https://youtu.be/d6EmFlKb9J0,무비아저씨 / 2025년 신작 역대급 스릴러,evil_city,156,44,2113,2313
18,곡성,"미스터리, 스릴러, 오컬트",https://youtu.be/yjAEqB1DQOI,소극장 / 귀신 들린 외지인을 들인 마을 [결말],goksung,145,0,4677,4822
19,베테랑,"범죄, 느와르, 액션, 스릴러, 사회고발",https://youtu.be/IJeqBJuWLtk,교양 Voyage / 액션스릴러 (42번과 동일 리뷰영상 - 중복),veteran,242,0,2428,2670
20,신세계,"범죄, 느와르, 스릴러, 드라마",https://youtu.be/so_yxSEr4dU,스포트라이터 / 깡패 두목이 죽고 시작되는 싸움 [결말],sinsegye,185,9,1426,1620
21,범죄도시,"액션, 범죄, 코미디",https://youtu.be/CoizOoihvmY,지토무비 / 조선족 행동대장 vs 강력계 형사 [결말],beomjoedosi,194,22,1463,1679
22,비열한 거리,"액션, 범죄, 느와르",https://youtu.be/wBr3f72w-fg,채널휸 / 조폭 세계를 리얼하게 그린 느와르 수작,biyeolhan_geori,258,30,2077,2365
23,고지전,"전쟁, 액션, 드라마",https://youtu.be/609aXCEWLkg,넥스트무비 / 6.25 한국전쟁영화 걸작 [결말],gojijeon,119,59,1950,2128
24,친구,"느와르, 범죄, 드라마",https://youtu.be/C0-Gghp-HAo,소극장 / 전설적인 건달의 이야기 [결말],chingu,407,31,3695,4133
25,서울의 봄,"시대극, 스릴러, 느와르",https://youtu.be/la1MP9EOnxY,탄직이 / 서울의 봄 엔딩 마지막 장면,seoului_bom,34,5,2617,2656
26,군체,"범죄, 느와르",https://youtu.be/Y6RI7hdc2Jo,(유튜브),gunche,114,149,1243,1506
27,달콤한 인생,,https://youtu.be/Prv5wy2wKbE,,dalkomhan_insaeng,294,5,1457,1756
28,범죄도시_싸움씬,"범죄, 느와르",https://youtu.be/W7UuxXhRdR4,ONE PLAYER / 마석도 vs 강해상 버스 싸움 범죄도시2,beomjoedosi_fight_bus,273,0,281,554
29,범죄도시_싸움씬,,https://youtu.be/idENXLLrrFI,한번더 보는장면 / 화장실 격투씬 마석도 vs 장첸,beomjoedosi_fight_toilet,294,0,253,547
30,범죄도시_싸움씬,,https://youtu.be/6-JPrqkjEWE,korean wls / 범죄도시3 마동석 모든 액션 모음,THEOUTLAWS3,908,1,0,909
32,범죄도시_싸움씬,,https://youtu.be/i_4vWUFuxZ4,우사장 / 범죄도시 마동석 타격 모음 1-2,THEOUTLAWS12,350,2,211,563
33,아이킬유,"드라마, 액션",https://youtu.be/T9Dt20IYOmA,어바웃타임 / 버스기사 싸움의 신을 건드리면,Ikillyou,963,157,2554,3674
34,범죄와의 전쟁,"범죄, 느와르, 스릴러",https://youtu.be/69RJZ7TwDrQ,소극장 / 부산을 접수했던 남자들 [결말],NamelessGangster,780,93,2579,3519
35,악녀,"액션, 느와르, 범죄, 드라마",https://youtu.be/3fZJ6EJNqPw,KT / 악녀 무비톡,,,,,
36,다만 악에서 구하소서,"액션, 느와르, 범죄, 드라마",https://youtu.be/vNx1vGuz1KY,리뷰맛집 / 선혈 낭자 액션 영화 리뷰,DeliverUsfromEvil,491,0,923,1414
37,짝패,"액션, 느와르, 범죄, 드라마",https://youtu.be/9z2cMb_1hdg,공작왕TV / 한국형 킬빌 [결말],jjackpae,294,0,693,987
38,카터,"액션, 스릴러",https://youtu.be/vmPXO6dgKts,정씨네 / 원테이크 한국액션영화,Carter,2252,53,802,3107
39,성난황소,"액션, 느와르, 범죄",https://youtu.be/dEOrWvJvLco,City Sounds / 성난황소 [결말],Unstoppable,949,0,2315,3264
40,용의자,"액션, 첩보, 스릴러, 범죄",https://youtu.be/CPfyo44LpSY,곤이tv / 공유 주연 용의자 몰아보기,Suspect,329,2,1648,1979
41,아수라,"범죄, 느와르, 액션, 스릴러",https://youtu.be/rxftEevDi-M,채널휸 / 황정민 정우성 주지훈 곽도원 [결말],Asura,770,18,1615,2403
42,베테랑,"범죄, 느와르, 액션, 스릴러, 사회고발",https://youtu.be/IJeqBJuWLtk,교양 Voyage / 조태오 액션스릴러,Veteran,611,73,1986,2670
43,약한 영웅,"액션, 범죄, 드라마",https://youtu.be/GDXy-k7iAyA,지무비 / 박지훈 단종 캐스팅 그 드라마,Weakhero,617,0,3038,3655
44,굿보이,"액션, 코미디, 범죄, 수사",https://youtu.be/8ND_8fA93Wo,지무비 / 박보검 드라마 액션 퀄리티,Goodboy,565,53,2024,2642
45,암살,"시대극, 액션",https://youtu.be/HLGDcyowviQ,쇼박스 / 저격수 안옥윤 전지현 모음,Murder,231,0,1719,1950
46,보이,"범죄, 느와르",https://youtu.be/YVG4hakGu6g,엘플릭스 / 빌런 서인국 디스토피아 영화,Boy,140,41,1603,1784
